MIDInoteNum	note nom !2	note num !3	règle accord !29	nb voix !5	avecEtouffoir !6	déviation accord voix +-Hz !8	dureté du marteau !11	stereoXSource !26	stereoYSource !27	AttackWAVfile !17	AttackWAVvolume dB !18	DecayTime !19	SustainVolume dB !20	SustainTimeT60 !21	ReleaseTimeT60 !22	ReleaseWAVfile !23	ReleaseWAVvolume dB !25	fréq coupure filtre amortissement fréquentiel !32	puissance filtre amortissement fréquentiel en dB !33	inharmonicité coef B !15	inharmonicité fréq P1 !31	liste amplitudes réelles des partiels dB !24
Section	Instrument																					
InstrNom	Bosendorfer 290 Imperial																					
VersionDate	V1 251227																					
InstrDescription	From samples GRANDIOSO Bosendorfer 290, 2002 PMI Amsterdam created by Michiel Post																					
Auteur	Ing Vincent GACOUGNOLLE																					
InstrType	piano																					
Diapason	440Hz@M69																					
GeneralMIDI	6																					
PedaleSoftVolume	-6dB																					
PedaleUnaCorda	1																					
PitchbendRange	2																					
DelaiNoteOff	0.1																					
NiveauCouplageMecanique	-22dB																					
Section	Clavier																					
1	PedaleForte	1001			1					pianoSalamanderGrandPianoV3-pedalForteD1.wav	-48				0,8	pianoSalamanderGrandPianoV3-pedalU1.wav	-64					
24	C1	4	=	=	=		=	-0,64	=	=	=	2,878	-15,8	34,63	0,77	=	=	=	=	0,000112	32,5	-26,7 -15,1 -7,7 -11,7 0 -7,6 -9,5 -28 -29,4 -10,7 -4,4 -12,6 -11,6 -13,3 -17,5 -18,4 -27,4 -15 -15,2 -24,8 -15,4 -21,5 -16,7 -21,7 -30,3 -26,3 -21,6 -19,7 -11,7 -24,6 -23 -37,2 -33,1 -27,4 -30,1 -16,2 -13,3 -18,7 -18,5 -33,8 -23,3 -22,5 -30,6 -25,1 -24,4 -30,6 -38,9 -31,3 -26,5 -27,4 -33 -37,3 -38,6 -42,5 -31,5 -39,8 -33,3 -36,3 -33,1 -38,6 -29,1 -50,7 -37,2 -31,1 -35,6 -41,9 -33,1 -48,7 -45,4 -29,9 -36,9 -40,1 -41,7 -46,9 -50,3 -58,9 -49,5 -33,4 -39,8 -42,2 -45,7 -49 -58,7 -49,5 -55 -49,7 -48 -53,3 -60,5 -55,9 -43,2 -52,6 -56,6 -53,3 -54,6 -70,7 -71,8 -65,4 -60,6 -61,4 
25	C#1	5	=	=	=		=	-0,62	1,47	=	=	=	=	=	=	=	=	=	=	=	=	=
26	D1	6	=	=	=		=	-0,6	=	=	=	2,889	-15,6	=	=	=	=	=	=	0,00013	36,44	-18,4 0 -3,9 -11,9 -7,6 -8,3 -18,8 -31,3 -19,7 -6,9 -8,9 -12,9 -15,4 -19,2 -14,6 -21,3 -29,8 -28,2 -16,9 -26,8 -17,8 -19,4 -20,1 -24,1 -21,9 -27,4 -31,6 -18,9 -15,6 -22,2 -26,7 -34,4 -34,4 -32,8 -21 -21,4 -17,7 -29,7 -33,6 -32,7 -33 -25,6 -26,8 -27,9 -32,6 -37,8 -33,8 -39,7 -29,4 -23,8 -33,7 -37,2 -42,4 -37,8 -34,3 -32,3 -39,4 -40,1 -42,8 -47,3 -55,6 -52,3 -40,8 -37,8 -52,7 -54,6 -53,9 -45,8 -42,5 -34,2 -23,6 -48,1 -46,7 -58,1 -51,7 -59,7 -50,1 -28,4 -49 -60,1 -64,8 -55 -56,8 -60,1 -57 -59,8 -54,3 -59,9 -63,9 -54,8 -57,3 -60,1 -71,6 -80,8 -73,5 -65,3 -58,5 -60,6 -66,6 
27	D#1	7	=	=	=		=	-0,59	1,46	=	=	=	=	=	=	=	=	=	=	=	=	=
28	E1	8	=	2	=	0,1	=	-0,57	1,45	=	=	=	=	39,81	=	=	=	=	=	0,000134	40,92	-14,7 -1,3 -5,9 0 -14,2 -10,1 -27,7 -20,1 -10,5 -8 -5,6 -15,4 -7,9 -18,6 -32,1 -30 -32,7 -24 -24,4 -25,6 -19,5 -13,3 -20,1 -20,8 -24,1 -25,7 -16,9 -21,4 -22,2 -21,1 -25 -35 -37,4 -28,7 -28,3 -21,6 -24 -25,8 -40,1 -19,9 -29,7 -26,9 -23,4 -27,5 -32,5 -38,3 -48,4 -36,5 -28,4 -24 -30,7 -39 -41,3 -52,1 -38 -42 -38,3 -34,1 -27,6 -36,4 -58 -44,6 -38,5 -31,2 -40,4 -40 -57,2 -27 -32,7 -43,4 -40,4 -41,8 -51,1 -62,1 -62,2 -39,1 -51,7 -48,2 -56 -55 -58,4 -63,4 -51,1 -58,7 -57,8 -62,7 -63,7 -67,6 -59,7 -42,7 -59,1 -56,2 -58,3 -70,4 -68,9 -60,9 -40 -52,6 -64,8 -69,3 
29	F1	9	=	=	=	=	=	-0,56	=	=	=	2,622	-13,1	=	=	=	=	=	=	=	43,4	-17,1 0 -4,5 -1,3 -7,9 -5,4 -6,8 -13,7 -9,4 -7,7 -13 -9,1 -21,2 -13 -26,7 -22,4 -33,6 -17,8 -24,9 -17,7 -15 -19,3 -13,9 -21,4 -42,8 -24,9 -42,8 -15,4 -27,3 -29,5 -13,8 -16,2 -36,7 -39,6 -32,4 -35,1 -25,3 -20,7 -25,5 -48,7 -23 -23,3 -41,5 -45,8 -36,7 -31,6 -21,4 -50,5 -25,4 -28,1 -41,1 -49,2 -44,5 -34,6 -56,1 -26,7 -20,1 -32,4 -37,6 -44,9 -27 -34,7 -51,4 -40,5 -49,9 -39,5 -40,8 -36,3 -30,6 -48,4 -32,3 -40,3 -37 -57,6 -50,5 -43,1 -44,7 -60 -39 -39,7 -46,5 -47,1 -44,3 -50 -52,2 -28,3 -53,3 -35,9 -51,3 -45 -41,8 -67,1 -51,7 -49,2 -63,3 -53,8 -62 -70,5 -63,7 -62,8 
30	F#1	10	=	=	=	=	=	-0,54	1,44	=	=	=	=	=	=	=	=	=	=	=	=	=
31	G1	11	=	=	=	=	=	-0,52	=	=	=	2,856	-14,3	34,63	=	=	=	=	=	0,00012	48,61	-15,6 0 -7,2 -4,4 -7,1 -12,8 -28,4 -20,7 -21,6 -17,4 -10,4 -18,4 -22,9 -22,7 -36,8 -30,2 -34,2 -22,7 -22,7 -32,7 -27,4 -16,7 -17,8 -19,3 -24,5 -32,8 -23 -25 -13,1 -17,5 -28,8 -34,1 -34,7 -29,1 -31,2 -27,2 -20,9 -18,9 -36,4 -31,9 -38,3 -28,9 -24,8 -24,9 -23,7 -33,4 -52,5 -32 -28,7 -27,7 -36,8 -33,1 -39,7 -42,7 -36,4 -34,9 -33,9 -30,8 -44,3 -36,9 -41,3 -47,4 -46,8 -45,1 -41,9 -43,2 -39,9 -59,6 -49,3 -49,9 -46,2 -49,1 -53,6 -47,6 -57,9 -62 -53 -51 -50,4 -55,4 -42 -60,4 -49,1 -58 -59 -59,9 -63,6 -50,6 -40,4 -67,9 -62,4 -60,5 -66,1 -77,2 -80,2 -65,4 -74,7 -66 -74,8 -70,8 
32	G#1	12	=	=	=	=	=	-0,51	1,43	=	=	=	=	=	=	=	=	=	=	=	=	=
33	A1	13	=	=	=	=	=	-0,49	=	=	=	2,133	-20,2	46,63	0,697	=	=	=	-3	0,000139	54,84	-13,8 0 -3,5 -5,6 -16,6 -5,6 -0,8 -24 -14,1 -23,8 -18,2 -21,9 -23,7 -8,8 -15,9 -8,6 -29,8 -17,4 -19,3 -23,2 -17,7 -14,4 -7 -23,3 -22,5 -22,1 -21,6 -13,8 -11,2 -13,2 -16,2 -27,7 -36,9 -32 -27,4 -14,2 -20 -24,9 -29,2 -33,6 -31,3 -24,3 -13,7 -24,6 -30,8 -49 -35,7 -31,1 -25,1 -30 -37,1 -39,5 -42,3 -42,5 -43,3 -38 -41,6 -46,3 -42,3 -45,4 -47,9 -47 -44,2 -48,8 -51,2 -50,7 -26,4 -45,3 -37,5 -51,3 -55 -58 -56,7 -53,1 -48,3 -54,4 -54,9 -52,9 -62,9 -55,6 -55,4 -57,6 -64,9 -74,1 -71,9 -59,1 -51 -62,7 -77,2 -79,3 -81,9 -76,7 -80,6 -80,8 -77 -73,4 -66,4 
