MIDInoteNum	note nom !2	note num !3	règle accord !29	nb voix !5	avecEtouffoir !6	déviation accord voix +-Hz !8	dureté du marteau !11	stereoXSource !26	stereoYSource !27	AttackWAVfile !17	AttackWAVvolume dB !18	DecayTime !19	SustainVolume dB !20	SustainTimeT60 !21	ReleaseTimeT60 !22	ReleaseWAVfile !23	ReleaseWAVvolume dB !25	fréq coupure filtre amortissement fréquentiel !32	puissance filtre amortissement fréquentiel en dB !33	inharmonicité coef B !15	inharmonicité fréq P1 !31	liste amplitudes réelles des partiels dB !24
Section	Instrument																					
InstrNom	Yamaha C5																					
VersionDate	V3 250826																					
InstrDescription	"Grand Piano Yamaha C5																					
Salamander Grand Piano V2 Recorded @ 48khz24bit																						
Licence: CC-by http://creativecommons.org/licenses/by/3.0/																						
Author: Alexander Holm"																						
Auteur	Ing Vincent GACOUGNOLLE																					
InstrType	piano																					
Diapason	440Hz@M69																					
GeneralMIDI	6																					
PedaleSoftVolume	-6dB																					
PedaleUnaCorda	1																					
PitchbendRange	2																					
DelaiNoteOff	0.1																					
NiveauCouplageMecanique	-22dB																					
Section	Clavier																					
1	PedaleForte	1001			1					pianoSalamanderGrandPianoV3-pedalForteD1.wav	-48				0,8	pianoSalamanderGrandPianoV3-pedalU1.wav	-72					
33	A1	13	=	=	=		=	-0,49	=	=	=	4,9	-22	46,63	0,697	=	=	=	-3	0,000106	54,75	-10,6 0 -3,1 -13,8 -13 -21,8 -10,9 -31,8 -22,3 -22 -14,7 -19,7 -18,7 -22,4 -19,9 -26,1 -24,4 -22,3 -18,4 -22,7 -17 -22,9 -30,6 -34,4 -26,3 -29,7 -37,7 -31,7 -16,6 -22,8 -28,4 -30,5 -49 -37,2 -25,9 -33,5 -19,3 -30,7 -39 -42,2 -47 -36,6 -38,2 -34,7 -36 -42,6 -29,7 -37,7 -49,2 -38,8 -41,4 -40,2 -39,9 -38 -41,6 -50,8 -31,3 -43,4 -40 -50,2 -42,4 -40,7 -50,1 -56,1 -52,1 -53,5 -57,9 -58,1 -54,3 -58,4 -53,6 -67,7 -53 -59,6 -53,3 -59,9 -57,8 -68,6 -62,9 -65,4 -63,2 -55,9 -72,9 -60,1 -69,2 -68,8 -81,3 -77,2 -69,2 -75,4 -72,1 -70,6 -79,8 -74,4 -67,5 -77 -78,2 
34	A#1	14	=	=	=	0,1	=	-0,48	1,42	=	=	=	=	=	=	=	=	=	=	=	=	=
35	B1	15	=	=	=	=	=	-0,46	1,41	=	=	=	=	=	=	=	=	=	=	=	=	=
36	C2	16	=	=	=	=	=	-0,45	=	=	=	1,528	-21,2	36,375	0,671	=	=	=	=	0,000123	65	-5,5 0 -15,5 -7,3 -8,7 -14,1 -12,5 -34,1 -18,9 -13,6 -16,6 -25,6 -10,8 -14,6 -12,7 -28,4 -37,2 -23,5 -23,9 -27,9 -18,1 -18,2 -18,6 -20,8 -30,3 -32 -37,4 -27,4 -18,8 -22,2 -18,2 -26,1 -47,3 -50,7 -34,6 -30,3 -36,6 -38,3 -42,5 -48 -51,7 -43 -40,6 -37,7 -33,5 -40,3 -33,2 -48,7 -57,6 -47,8 -45,2 -46 -52,5 -51,8 -59 -56 -61,2 -54,7 -58,7 -56 -58,5 -56,2 -57,1 -72 -69,5 -70,1 -59,2 -60 -59,2 -49,8 -65,1 -66,2 -76 -76,3 -74,7 -79,1 -63,3 -70,2 -67 -79,8 -78,4 -76,5 -75,3 
37	C#2	17	=	=	=	=	=	-0,43	1,4	=	=	=	=	=	=	=	=	=	=	=	=	=
38	D2	18	=	=	=	=	=	-0,41	=	=	=	=	=	=	=	=	=	=	=	=	=	=
39	D#2	19	=	=	=	=	=	-0,4	1,39	=	=	1,389	-16,8	36,353	0,645	=	=	=	=	0,000113	77,5	0 -1,4 -4,9 -6 -7,4 -11,4 -11,8 -31 -16 -25,1 -14,7 -22,4 -17,7 -17,3 -21,3 -24,9 -28,7 -23,7 -22,3 -18,8 -20,4 -25,2 -21,5 -26,4 -36,4 -31,5 -24,1 -30,7 -21,9 -28,3 -36,1 -52,7 -44,8 -43,6 -33,9 -35,5 -43,8 -46,6 -53,5 -48 -39,8 -44,5 -45 -59,7 -54 -54,9 -64,9 -60,3 -65,6 -57,7 -56,4 -51,8 -73,9 -75 -72 -62,8 -58 -59 -67,2 -69,6 -78 -76,9 -78,6 -70,5 -60,8 -69,4 -80,8 -82,7 
40	E2	20	=	=	=	=	=	-0,38	=	=	=	=	=	=	=	=	=	=	=	=	=	=
41	F2	21	=	=	=	=	=	-0,37	1,38	=	=	=	=	=	=	=	=	=	=	=	=	=
42	F#2	22	=	=	=	=	=	-0,35	=	=	=	3,014	-21,5	51,654	0,619	=	=	=	=	0,000107	92,19	0 -5,8 -6,4 -8,3 -8,5 -10,5 -7,5 -29,1 -21,4 -15,6 -20 -23,4 -19,8 -13,1 -24,9 -27,1 -23,9 -25,9 -26,7 -31,9 -24,7 -16,4 -20,7 -35,2 -41 -35 -41,3 -28,9 -28,4 -33,3 -44 -35,5 -49,2 -48 -34,4 -38,5 -39,8 -50,9 -55,2 -66,4 -67,4 -54,4 -60,1 -53,5 -57 -60,4 -58,4 -66,6 -70,9 -63,9 -59,9 -61 -64,7 -61,9 -74,6 -79,1 -80,6 -69,3 -59 -70 -70,5 
