MIDInoteNum	note nom !2	note num !3	règle accord !29	nb voix !5	avecEtouffoir !6	déviation accord voix +-Hz !8	dureté du marteau !11	fréq coupure filtre marteau passe bas !12	stereoXSource !26	stereoYSource !27	AttackWAVfile !17	AttackWAVvolume dB !18	DecayTime !19	SustainVolume dB !20	SustainTimeT60 !21	ReleaseTimeT60 !22	ReleaseWAVfile !23	ReleaseWAVvolume dB !25
Section	Instrument																	
InstrNom	Marque-Modele-SN																	
VersionDate	V3 250618																	
InstrDescription	Grand Piano marque modèle taille année SN historique																	
Auteur	Mr Bean																	
InstrType	piano																	
Diapason	440Hz@M69																	
GeneralMIDI	6																	
PedaleSoftVolume	-6dB																	
PedaleUnaCorda	1																	
PitchbendRange	2																	
DelaiNoteOff	0.1																	
NiveauCouplageMecanique	-33dB																	
Section	Clavier																	
1	PedaleForte	1001			1						pianoPedaleForteBas.wav	-12				0,8	pianoPedaleHaut.wav	-18
72	Do 4	52	=	=	=	=	=	925	0,11	=	=	=	1	=	10,46	0,36	=	=
73	Do# 4	53	=	=	=	=	=	933	0,12	0,64	=	=	1,308	=	10,18	0,352	=	=
74	Ré 4	54	=	=	=	=	=	942	0,14	0,63	=	=	1,269	=	9,9	0,343	=	=
75	Ré# 4	55	=	=	=	=	=	950	0,15	=	=	=	1,231	=	9,63	0,334	=	=
76	Mi 4	56	=	=	=	=	=	958	0,16	0,62	=	=	1,192	=	9,35	0,326	=	=
77	Fa 4	57	=	=	=	=	=	967	0,18	0,61	=	=	1,154	=	9,07	0,317	=	=
78	Fa# 4	58	=	=	=	=	=	975	0,19	0,6	=	=	1,115	=	8,79	0,309	=	=
79	Sol 4	59	=	=	=	=	=	983	0,2	=	=	=	1,077	=	8,51	0,3	=	=
80	Sol# 4	60	=	=	=	=	=	992	0,22	0,59	=	=	1,038	=	8,23	0,291	=	=
81	La 4	61	N-12P1P2 T+12P2P1	=	=	=	=	1000	0,23	0,58	pianoMarteauAigue.wav	-12	1	=	7,95	0,283	=	=
82	La# 4	62	*	=	=	=	=	1026	0,25	=	=	=	0,877	=	7,67	0,274	=	=
83	Si 4	63	=	=	=	=	=	1087	0,26	0,57	=	=	0,815	=	7,39	0,266	=	=
84	Do 5	64	=	=	=	=	=	1151	0,27	0,56	=	=	0,754	=	7,11	0,257	=	=
85	Do# 5	65	=	=	=	=	=	1220	0,29	=	=	=	0,692	=	6,83	0,248	=	=
86	Ré 5	66	=	=	=	=	=	1292	0,3	0,55	=	=	0,631	=	6,55	0,24	=	=
87	Ré# 5	67	=	=	=	=	=	1369	0,31	0,54	=	=	0,569	=	6,27	0,231	=	=
88	Mi 5	68	=	=	=	=	=	1450	0,33	=	=	=	0,508	=	5,99	0,222	=	=
89	Fa 5	69	=	=		=	=	1537	0,34	0,53	=	=	0,446	=	5,71	0,214	=	=
90	Fa# 5	70	=	=		=	=	1628	0,35	0,52	=	=	0,385	=	5,43	0,205	=	=
91	Sol 5	71	=	=		=	=	1725	0,37	=	=	=	0,323	=	5,15	0,197	=	=
92	Sol# 5	72	=	=		=	=	1827	0,38	0,51	=	=	0,262	=	4,87	0,188	=	=
93	La 5	73	N-12P1P2 T+12P2P1	=		=	=	1936	0,4	0,5	=	=	0,2	=	4,59	0,179	=	=
94	La# 5	74	*	=		=	=	2051	0,41	=	=	=	0,185	=	4,31	0,171	=	=
95	Si 5	75	=	=		=	=	2173	0,42	0,49	=	=	0,177	=	4,03	0,162	=	=
96	Do 6	76	=	=		=	=	2302	0,44	0,48	=	=	0,169	=	3,75	0,153	=	=
97	Do# 6	77	=	=		=	=	2439	0,45	0,47	=	=	0,162	=	3,48	0,145	=	=
98	Ré 6	78	=	=		=	=	2584	0,46	=	=	=	0,154	=	3,2	0,136	=	=
99	Ré# 6	79	=	=		=	=	2738	0,48	0,46	=	=	0,146	=	2,92	0,128	=	=
100	Mi 6	80	=	=		=	=	2901	0,49	0,45	=	=	0,138	=	2,64	0,119	=	=
101	Fa 6	81	=	=		=	=	3073	0,5	=	=	=	0,131	=	2,36	0,11	=	=
102	Fa# 6	82	=	=		=	=	3256	0,52	0,44	=	=	0,123	=	2,08	0,102	=	=
103	Sol 6	83	=	=		=	=	3450	0,53	0,43	=	=	0,115	=	1,8	0,093	=	=
104	Sol# 6	84	=	=		=	=	3655	0,55	=	=	=	0,108	=	1,52	0,084	=	=
105	La 6	85	N-12P1P2	=		=	=	3872	0,56	0,42	=	=	0,1	=	1,24	0,076	=	=
106	La# 6	86	=	=		=	=	4102	0,57	0,41	=	=	=	=	0,96	0,067	=	=
107	Si 6	87	=	=		=	=	4346	0,59	=	=	=	=	=	0,68	0,059	=	=
108	Do 7	88	=	=		=	=	4605	0,6	0,4	=	=	=	=	0,4	0,05	=	=
