MIDInoteNum	note nom !2	note num !3	règle accord !29	nb voix !5	avecEtouffoir !6	déviation accord voix +-Hz !8	dureté du marteau !11	stereoXSource !26	stereoYSource !27	AttackWAVfile !17	AttackWAVvolume dB !18	DecayTime !19	SustainVolume dB !20	SustainTimeT60 !21	ReleaseTimeT60 !22	ReleaseWAVfile !23	ReleaseWAVvolume dB !25	fréq coupure filtre amortissement fréquentiel !32	puissance filtre amortissement fréquentiel en dB !33	inharmonicité coef B !15	inharmonicité fréq P1 !31	liste amplitudes réelles des partiels dB !24
Section	Instrument																					
InstrNom	GP-Schimmel-155-SN196510																					
VersionDate	V3 250618																					
InstrDescription	Grand Piano Schimmel-155 1980 SN196510																					
Auteur	Ing Vincent GACOUGNOLLE																					
InstrType	piano																					
Diapason	440Hz@M69																					
GeneralMIDI	6																					
PedaleSoftVolume	-6dB																					
PedaleUnaCorda	1																					
PitchbendRange	2																					
DelaiNoteOff	0.1																					
NiveauCouplageMecanique	-20dB																					
Section	Clavier																					
1	PedaleForte	1001			1					pianoPedaleForteBas.wav	-12				0,8	pianoPedaleHaut.wav	-18					
29	Fa 0	9	=	=	=		=	-0,48	0,94	=	=	1,003	-17,6	24,1	0,73	=	=	993	=	0,000763	42,94	-13,6 -5,8 -0,9 -18,3 -2,6 0 -9,8 -39,3 -35,5 -27,6 -13,6 -20,2 -20,3 -16,3 -10,3 -4,7 -37,8 -34 -34,4 -18,2 -16,9 -15 -18,9 -18,8 -41,7 -17,2 -23,1 -19,5 -19,7 -25,2 -33,8 -39,4 -38,9 -30,2 -27,2 -32,9 -29,1 -45,5 -46,9 -47,2 -42,5 -44,8 -55,3 -48,4 -50,4 -56,7 -50,6 -47,4 -44,2 -58,5 -59,2 -60,3 -57,7 -59,3 -61,9 -62,7 -67,6 -53,4 -58,5 -58,3 -71,3 -68,4 -69,7 -78,8 -80,4 -82,4 -81,7 -71 
30	Fa# 0	10	=	=	=		=	-0,46	0,93	=	=	1,028	-16	23	0,54	=	=	903	-5	0,000821	45,32	-9,7 -0,2 0 -6,3 -9,2 -3,8 -11,8 -32,2 -42,8 -15,7 -16,3 -19,8 -10,3 -13,2 -15,3 -12 -26,8 -38,9 -27,3 -16,5 -25,1 -17,1 -21,5 -26,8 -32,9 -25,6 -29,7 -27,7 -17,9 -38,4 -37,2 -50,4 -43,8 -44,3 -32,2 -42,1 -45,4 -40,1 -48,8 -52,2 -54 -35,2 -47,3 -54,9 -62,7 -65 -55 -56,7 -56,1 -51,4 -58,2 -65,2 -72,7 -64,8 -64,6 -54,2 -68,2 -80 -67,7 -66,9 -69,4 
31	Sol 0	11	=	=	=		=	-0,45	=	=	=	0,956	-17,8	21,96	0,714	=	=	=	=	0,000743	48,52	-5,7 0 -9,8 -12,9 -3,2 -2,3 -7,4 -20,5 -27,8 -16 -4,8 -6,8 -10,8 -20,9 -21,5 -9,1 -8,8 -20,3 -16 -14,2 -18,4 -20,9 -14,4 -15,1 -27,2 -22,3 -39,1 -27 -28,2 -21,4 -24,1 -24,7 -48,3 -45,8 -36,7 -25,9 -30,3 -43,9 -32,9 -41,5 -52,8 -32 -46,5 -38,8 -36,9 -46,7 -46,8 -51,9 -50,4 -51,3 -51,3 -53,4 -54 -54 -57,6 -54,6 -67,1 -58,8 -66,7 -69,4 -54,3 -60,6 -67,5 -68,3 -70,8 -66,1 -70,5 -78,8 -83,8 -81,5 -78,7 -69,3 
32	Sol# 0	12	=	=	=		=	-0,44	0,92	=	=	0,794	-16,8	20,95	0,705	=	=	=	=	0,000708	51,41	-4,6 0 -5 -2,5 -3,1 -9,8 -9,4 -10,2 -39,5 -18,3 -10 -6,6 -11,6 -7 -7 -14,3 -13,5 -35,8 -19,1 -22 -19,4 -15,2 -13,9 -25,1 -37,7 -19,2 -30,6 -31,1 -22,2 -24,7 -35,4 -39,7 -55,7 -27,7 -34,5 -36 -43,7 -39,5 -44 -51,2 -49,5 -39,7 -41,4 -50,3 -47,1 -45,1 -52 -54,5 -56,9 -48,7 -54,1 -54,6 -67,1 -64,9 -72,3 -66 -60,5 -69,1 -72,8 -66,4 -65,1 -70,3 -81,2 -73,8 
33	La 0	13	=	=	=		=	-0,42	0,91	=	=	0,822	-18,3	20	0,697	=	=	=	=	0,000868	53,92	-8,8 -1,4 0 -2,7 -7,5 -22,7 -9,3 -22,2 -34,7 -16,4 -2,3 -18 -12,5 -13 -20 -9,9 -13,1 -39,4 -18,8 -26,8 -24,1 -20,1 -26,7 -16 -43,7 -27,1 -23,9 -22 -23,8 -34 -38,6 -33,6 -30,1 -36,1 -36,1 -34,8 -46,6 -36,1 -35,7 -41,6 -36,4 -50,9 -40,7 -31,1 -43,5 -43,1 -37,5 -48,1 -48,6 -57,4 -54,2 -55,8 -57,4 -38,7 -57,8 -65,7 -50,5 -63,8 -69,7 -78,8 -72 -74,9 -58,4 -70,8 -79 -75,3 -99 -79,6 -81,4 -99 -99 -99 -99 -88,5 -99 -90,7 -99 -90,2 -93,1 -94,5 -93,2 -93,2 -94,2 -93 -90,2 -90,7 -99 -89,8 -86,2 -99 -99 -99 -79,6 -80,8 -75,3 
34	La# 0	14	=	2	=	0,1	=	-0,41	0,9	=	=	1,378	-16,6	28	0,688	=	=	1201	=	0,000348	57,82	-9,4 0 -5,9 -2,4 -3,8 -12,8 -9,5 -13,4 -21,1 -14,2 -3 -8,4 -10,4 -4 -9,1 -30,1 -22,9 -23,3 -24,4 -30,6 -23,6 -22,2 -32,6 -29 -37,8 -35,5 -25,1 -23,7 -23,7 -31,7 -37,7 -39,8 -52,8 -39,4 -38,5 -41,1 -28 -35,3 -40,7 -52,7 -56,6 -53,2 -55,2 -51,8 -45,1 -44,5 -59,7 -58,9 -61,4 -65,1 -52,1 -46,8 -64 -52,1 -68,4 -99 -99 -68,7 -72,1 -68,2 -71,8 -73,7 -72,7 -71,8 
35	Si 0	15	=	=	=	=	=	-0,4	=	=	=	1,347	-17,5	27,8	0,679	=	=	=	=	0,000335	61,11	-9,2 0 -3,3 -4 -6,6 -9,5 -4,1 -32,9 -14 -2,8 -7,2 -10 -19,4 -13 -18,4 -22,4 -26,1 -26,8 -33,9 -21,6 -26,9 -25,8 -21,9 -38,6 -34,6 -26,6 -21,7 -25,7 -33,3 -41,5 -36,2 -38,4 -43,2 -34,2 -41 -22,2 -32,9 -43,6 -50,4 -44,5 -49,2 -50,9 -44,2 -46,8 -48,4 -51,4 -51,3 -57,1 -57,4 -43,3 -45,1 -61,2 -69,9 -73,5 -68,2 -64,6 -63,9 -75,4 -69,3 -77,5 -81,3 -70,1 -72 -83,2 -72,2 -88,5 -77,3 
36	Do 1	16	=	=	=	=	=	-0,38	0,89	=	=	1,353	-17,3	27,61	0,671	=	=	=	-3	0,00036	65,09	-9 0 -11,2 -2,9 -9,7 -10,9 -3,9 -43,8 -16,9 -11,8 -8,1 -17,5 -26,5 -32,8 -18,4 -20,9 -32,2 -38,3 -32,1 -31,3 -30,1 -20,5 -29,2 -31,8 -38,5 -32,1 -31,3 -28,5 -28,2 -32,8 -52,4 -46,9 -46,9 -47,2 -29,5 -31,9 -37,3 -39,1 -53,4 -54,3 -52,7 -43,3 -53,4 -39,5 -54,8 -59,9 -65,9 -67 -59,8 -43,4 -50,1 -58,2 -68,2 -76,7 -69,9 -66,9 -63,5 -64,5 -77,5 -85,5 -76,9 
37	Do# 1	17	=	=	=	=	=	-0,37	0,88	=	=	0,927	-16,1	27,41	0,662	=	=	=	=	0,000372	68,85	-7,1 0 -3,1 -11,1 -15,8 -7,8 -9,9 -21,2 -17,3 -6,9 -13,2 -15,5 -24,9 -19,7 -13,4 -17,1 -36,1 -44 -36,7 -31,6 -24,9 -24 -30,5 -28,4 -45 -45,1 -19,2 -31,3 -34,4 -38 -40,3 -44,3 -50 -51,9 -42,2 -48,2 -36,6 -39,8 -43,8 -46,8 -60,6 -60,6 -54,4 -47,4 -49,6 -48,8 -57,1 -65,4 -65,1 -61,3 -66,6 -67,9 -51,4 -52,8 -57,7 -75,8 -74,8 -72,7 -66,2 -57,1 -79,1 -77,6 -69,6 -82,4 -80,5 -76,3 
38	Ré 1	18	=	=	=	=	=	-0,35	=	=	=	1,353	-17,3	27,22	0,653	=	=	=	=	0,000351	72,92	-8,4 -3,1 0 -3,4 -8,1 -10 -11,5 -16 -15,3 -2,9 -9,5 -20,8 -13,5 -17,6 -11,7 -19,5 -29,8 -33,8 -22,9 -25,7 -20,2 -20,9 -21,9 -35,6 -38,6 -46,8 -22,6 -30,3 -39,4 -34,8 -39,8 -50,6 -58,6 -41,9 -47,5 -45,5 -29 -47,4 -49,2 -57,3 -51,6 -51,5 -55,1 -57,8 -48,9 -46,5 -66,9 -66,9 -64,9 -62,3 -65,9 -58,1 -61,5 -70,6 -73,8 -79,9 -76,9 -72,1 -68,2 -79,2 -79,8 -87,6 -86 -89,4 -80,8 -92,4 -93,1 -93,1 -95,7 -87,9 -93,8 -96,2 -95,3 -95 -94,2 -91,6 -95,1 -97,1 -93,1 -94 -96 -94 -93,1 -97 -95,1 -91,6 -94,2 -95 -96,2 -93,8 -87,9 -95,7 -93,1 -89,4 -80,8 
